Date,Forecast_Close
2019-12-31,292.37352822843934
2020-01-01,294.00899897638703
2020-01-02,294.55367915455247
2020-01-03,296.2121088964119
2020-01-06,296.9066430193558
2020-01-07,296.1994439226761
2020-01-08,295.8182533544674
2020-01-09,297.42083855096246
2020-01-10,298.4094108504429
2020-01-13,298.5174714562669
2020-01-14,298.9779069957509
2020-01-15,299.2088789728656
2020-01-16,300.12023482594634
2020-01-17,301.25611839566375
2020-01-20,301.21386171255256
2020-01-21,302.4312595215812
2020-01-22,302.36983339611436
2020-01-23,304.74762790028
2020-01-24,304.9355750990286
2020-01-27,303.4630193424597
2020-01-28,303.85940677050496
2020-01-29,304.21735021594907
2020-01-30,305.4189326477423
2020-01-31,307.16367241863156
2020-02-03,307.09914526466275
2020-02-04,307.89880660299207
2020-02-05,306.9424457860365
2020-02-06,307.62250366929914
2020-02-07,308.97538390878583
2020-02-10,309.802193374671
